Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,7,6,1,0.678238,0.182518,2.52034,0.955207,0.834679,0.608821,4.12936e+07,1.11601e+08,35.8726,28.1384,1,0.110215,1,3.77449,1,8.84981
,,,2,0.635246,0.193073,2.09008,0.916939,0.849541,0.57149,2.3182e+07,1.43894e+08,38.8141,34.2791,2,1.03252,1,2.35145,1,8.34113
,,,4,0.523972,0.106462,2.57883,0.906291,0.681163,0.450952,2.50272e+07,1.03498e+07,18.671,10.1244,3,,1,0.230355,1,18.2895
,,,5,0.664207,0.188957,2.33477,0.923085,0.81743,0.602059,2.0759e+07,1.22633e+08,47.635,25.0878,4,0.145116,1,5.49411,1,13.3944
,,,6,0.655019,0.182439,2.35175,0.95071,0.803753,0.576577,2.25042e+07,1.07934e+08,40.0973,27.4846,5,1.35799,2,0.146104,1,13.7698
,,,7,0.56983,0.232629,1.39581,0.884921,0.821712,0.493857,2.54453e+07,1.90122e+08,48.1956,39.4891,6,1.93943,2,6.0955,1,10.3095
,,,7,0.601365,0.209362,1.72735,0.902511,0.801785,0.521554,,1.58161e+08,45.1134,36.5545,7,1.29346,2,2.78832,1,7.83954
,,,,,,,,,,,,,,,,2,3.16057,1,8.03128
,,,,,,,,,,,,,,,,2,6.78747,1,8.29282
,,,,,,,,,,,,,,,,2,4.72423,1,6.11494
,,,,,,,,,,,,,,,,3,,1,11.696
,,,,,,,,,,,,,,,,4,6.34232,1,9.1669
,,,,,,,,,,,,,,,,4,2.67356,1,4.45347
,,,,,,,,,,,,,,,,4,0.191313,1,10.4713
,,,,,,,,,,,,,,,,4,2.4585,1,9.1764
,,,,,,,,,,,,,,,,4,2.87655,1,12.0356
,,,,,,,,,,,,,,,,5,2.25778,1,9.64051
,,,,,,,,,,,,,,,,5,0.48299,1,11.8631
,,,,,,,,,,,,,,,,5,2.19056,2,12.6083
,,,,,,,,,,,,,,,,5,2.48225,2,9.9736
,,,,,,,,,,,,,,,,6,8.47511,2,8.83578
,,,,,,,,,,,,,,,,6,8.73793,2,10.0822
,,,,,,,,,,,,,,,,6,6.2114,2,11.6515
,,,,,,,,,,,,,,,,6,5.95686,2,10.9742
,,,,,,,,,,,,,,,,6,3.42279,2,10.1155
,,,,,,,,,,,,,,,,6,4.22681,2,6.60729
,,,,,,,,,,,,,,,,6,4.87671,2,8.2077
,,,,,,,,,,,,,,,,6,1.1702,2,9.33777
,,,,,,,,,,,,,,,,6,1.89475,2,11.4262
,,,,,,,,,,,,,,,,7,6.53605,2,7.65406
,,,,,,,,,,,,,,,,7,1.79648,2,4.17394
,,,,,,,,,,,,,,,,7,0.99081,2,8.41992
,,,,,,,,,,,,,,,,7,4.46851,2,10.2901
