Filename,NucleiCount,CellID,SumGolATG9,totATG9A
ATG9-GolSeg_6Jan22_con_000_W_NSW4019_sec-only_B_60X_001.nd2,9,1,23346,5.61781e+07
,,2,18004,3.22481e+07
,,3,1.56694e+06,1.821e+07
,,4,,4.33674e+07
,,5,,4.74808e+07
,,6,,2.06328e+07
,,7,,3.06164e+07
,,8,,4.29953e+07
,,9,,1.16951e+08
ATG9-GolSeg_6Jan22_con_000_W_NSW4019_sec-only_B_60X_002.nd2,8,1,83520,7.16977e+07
,,2,28673,6.06713e+07
,,3,202180,5.34848e+07
,,4,24679,3.41246e+07
,,5,,1.7069e+07
,,6,,3.86158e+07
,,7,,6.88547e+07
,,8,,5.79933e+07
ATG9-GolSeg_6Jan22_con_000_W_NSW4019_sec-only_B_60X_003.nd2,6,1,2.62518e+06,5.46394e+07
,,2,2581,1.10595e+08
,,3,52,6.04189e+07
,,4,17209,5.71347e+07
,,5,368756,8.32317e+07
,,6,22,5.25751e+07
ATG9-GolSeg_6Jan22_con_000_W_NSW4019_sec-only_B_60X_004.nd2,4,1,30883,3.84343e+07
,,2,8456,3.51884e+07
,,3,2488,7.70204e+07
,,4,,1.50657e+08
ATG9-GolSeg_6Jan22_con_000_W_NSW4019_sec-only_B_60X_005.nd2,10,1,71,3.37924e+07
,,2,,4.82485e+07
,,3,,4.77342e+07
,,4,,4.56231e+06
,,5,,6.26711e+07
,,6,,1.26827e+07
,,7,,1.85988e+07
,,8,,8.19698e+06
,,9,,1.22028e+07
,,10,,6.01092e+07
