Filename,CellID,SumGolATG9,totATG9A
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,1.77405e+07,1.91936e+08
,2,1.77293e+06,2.18517e+08
,3,1.08335e+07,1.49148e+08
,4,5.97721e+06,1.66231e+08
,5,1.42203e+07,7.46441e+06
,6,6.9455e+06,2.15073e+08
,7,,2.20792e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,1.83904e+07,1.72634e+08
,2,976325,3.64982e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,6.3272e+06,1.78821e+08
,2,1.94499e+07,1.44497e+08
,3,163116,1.84463e+08
,4,2.62241e+07,1.15764e+08
,5,197854,2.5991e+08
,6,1.52313e+07,1.69082e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,6.1596e+06,1.018e+08
,2,1.38374e+07,1.49355e+08
,3,6.17826e+06,1.13731e+08
,4,2.20024e+06,1.26699e+08
,5,5.86577e+06,7.45747e+07
,6,8.24713e+06,7.95073e+07
,7,843817,9.67683e+07
,8,5.71805e+06,8.16037e+07
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,3.90997e+06,1.89503e+08
,2,6.90685e+06,1.94981e+08
,3,325105,1.49091e+08
,4,5.98049e+06,1.36186e+08
,5,1.25474e+07,2.22787e+08
,6,5.53601e+06,1.69875e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,1.17059e+06,2.01894e+08
,2,2.62891e+06,1.50475e+08
,3,3.67313e+06,1.56202e+08
,4,1.77778e+06,1.7894e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,9.96694e+06,3.71673e+08
,2,8.74433e+06,2.65475e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,7.0293e+06,1.83286e+08
,2,2.90593e+07,2.4748e+08
,3,153816,1.17297e+08
,4,3.43786e+07,2.58182e+08
,5,513197,1.31916e+08
,6,169905,1.67694e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,4.80639e+07,2.32071e+08
,2,506609,1.63197e+08
,3,4.03967e+07,1.59958e+08
,4,3.60262e+07,1.92116e+08
,5,1.32458e+06,1.92744e+08
,6,1.7496e+07,2.23522e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,8.468e+06,2.06527e+08
,2,1.65663e+06,1.41045e+08
,3,7.23637e+06,1.43725e+08
,4,5.51426e+06,7.43252e+07
,5,3.39057e+06,8.66013e+07
,6,1.71781e+06,1.27644e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_011.nd2,1,1.10195e+07,1.19632e+08
,2,1.12762e+07,1.1846e+08
,3,1.48452e+07,1.17896e+08
,4,2.43092e+06,1.25643e+08
,5,5.95526e+06,1.62694e+08
,6,2.83708e+06,1.11337e+08
,7,755253,7.79112e+07
,8,705095,2.3168e+07
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,1,5.93215e+06,1.3592e+08
,2,151974,1.82108e+08
,3,1.39585e+06,2.27302e+08
,4,5.17238e+06,1.13269e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,1,1.87564e+07,2.21913e+08
,2,1.21377e+07,2.29738e+08
,3,1.34898e+07,1.0616e+08
,4,377360,1.05235e+08
,5,4.37826e+06,1.39692e+08
,6,1.95296e+06,1.12393e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_014.nd2,1,2.01403e+07,2.94539e+08
,2,320263,1.69126e+08
ATG9-GolSeg_3Jan22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_015.nd2,1,3.42797e+06,2.84216e+08
,2,2.8142e+06,1.93292e+08
,3,5.54835e+06,1.4658e+08
,4,2.63455e+06,1.34203e+08
,5,3.56888e+06,1.63117e+08
,6,3.50368e+06,9.58774e+07
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,1,1.60821e+07,2.21122e+08
,2,1.12968e+07,3.01227e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_002.nd2,1,2.67477e+06,1.44813e+08
,2,7.94948e+06,1.55125e+08
,3,2.85157e+06,9.54327e+07
,4,3.55259e+06,2.28533e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_003.nd2,1,4.51887e+06,1.62754e+08
,2,21833,5.03626e+07
,3,2.93398e+06,1.03519e+07
,4,3.9589e+06,867651
,5,6.05038e+06,1.13334e+08
,6,1.99566e+06,1.33532e+08
,7,1.26085e+07,1.28289e+08
,8,,4.95602e+07
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,1,382676,1.29535e+08
,2,3.19148e+06,8.1815e+07
,3,6.30628e+06,9.01981e+07
,4,3.71126e+06,1.09093e+08
,5,8.5547e+06,1.19035e+08
,6,3.17661e+06,1.67143e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_005.nd2,1,175072,1.54097e+08
,2,3.03901e+07,3.23361e+07
,3,422390,7.7719e+07
,4,2.84307e+06,4.11275e+07
,5,3.52283e+06,1.11379e+08
,6,4.9485e+06,1.61445e+08
,7,1.95202e+06,1.82364e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,1,4.09776e+06,1.48558e+08
,2,8.32584e+06,1.29274e+08
,3,7.85105e+06,1.48316e+08
,4,1.89921e+06,1.41185e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,1,163168,1.02171e+08
,2,452530,8.57409e+07
,3,509725,7.53667e+07
,4,674071,6.74654e+07
,5,1.13959e+06,8.09958e+07
,6,4.60916e+06,1.54094e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_008.nd2,1,1.81583e+06,1.54524e+08
,2,699440,1.76335e+08
,3,4.38232e+06,1.12143e+08
,4,1.47736e+06,1.55706e+08
,5,102537,7.96513e+07
,6,2.7826e+06,1.66706e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,1,800886,1.02436e+08
,2,1.49251e+06,1.01622e+08
,3,86768,9.51677e+07
,4,7.31593e+06,1.0904e+08
,5,3.03694e+06,6.10273e+07
,6,2.4564e+06,8.58742e+07
,7,2.40548e+06,1.53054e+08
,8,3.03523e+06,1.70794e+08
ATG9-GolSeg_3Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_010.nd2,1,1.24548e+06,1.03621e+08
,2,2.18779e+06,1.03949e+08
