Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_3Mar22v5_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_001.nd2,6,6,1,2.24494e+07,6.17825e+07,0.566763,0.631527,0.151647,2.62997,0.682142,0.952233,36.0917,28.6973,1,0.163002,1,12.2423,0.00705104,625,1,3.62765,3.67359,1635
,,,2,1.84154e+07,7.70734e+07,0.548094,0.595752,0.161295,2.20045,0.616581,0.964784,38.5561,35.4037,2,1.0409,1,8.981,1.3961,2202,1,3.88309,15.8155,2203
,,,3,1.62039e+07,6.45364e+07,0.595842,0.646674,0.145395,2.87621,0.622554,0.929816,52.3335,26.1361,3,0.0548801,1,10.6602,0.00705104,511,1,0.187192,40.8819,2845
,,,4,1.24157e+07,5.45978e+07,0.511168,0.595374,0.12894,2.7491,0.633882,0.929328,40.5813,28.1234,4,1.40943,1,18.7018,0.239735,934,1,1.89943,16.7392,2112
,,,5,1.40279e+07,9.03911e+07,0.395417,0.487371,0.18016,1.31844,0.574384,0.944936,46.429,40.4247,5,1.96534,1,9.30751,0.0564083,664,1,3.13222,9.97721,1925
,,,6,1.37755e+07,7.3441e+07,0.435953,0.53678,0.173297,1.66265,0.677904,0.907976,44.5491,37.182,6,1.608,1,8.95552,0.00705104,462,1,1.29782,8.1933,1884
,,,,,,,,,,,,,,,,1,9.61754,0.00705104,543,1,3.18405,1.17047,1056
,,,,,,,,,,,,,,,,1,10.9446,0.0141021,532,1,4.65608,26.4202,2547
,,,,,,,,,,,,,,,,1,11.7977,0.141021,955,1,6.35737,0.719206,1464
,,,,,,,,,,,,,,,,1,11.3279,0.0493572,583,1,7.34425,0.507675,1127
,,,,,,,,,,,,,,,,1,11.5809,0.324348,1092,1,5.15579,11.9656,2572
,,,,,,,,,,,,,,,,1,11.0872,0.691001,1284,1,6.34814,0.0282041,616
,,,,,,,,,,,,,,,,1,11.2159,1.83327,1479,2,0.22358,4.34344,2275
,,,,,,,,,,,,,,,,1,15.1986,2.91913,1302,2,2.65616,11.3169,1809
,,,,,,,,,,,,,,,,1,13.7298,0.359603,899,2,1.21451,5.7748,2083
,,,,,,,,,,,,,,,,1,16.2819,0.289092,864,2,2.05849,8.09459,1987
,,,,,,,,,,,,,,,,1,8.15361,0.112817,686,2,2.53247,0.832022,1238
,,,,,,,,,,,,,,,,1,10.1764,0.253837,1284,2,5.76858,0.183327,752
,,,,,,,,,,,,,,,,1,13.0458,0.987145,1277,2,5.46129,0.0282041,594
,,,,,,,,,,,,,,,,1,14.1841,0.282041,898,2,7.30642,2.91913,2214
,,,,,,,,,,,,,,,,1,13.6849,0.564083,998,2,4.98949,31.9623,3003
,,,,,,,,,,,,,,,,1,12.7742,0.366654,938,2,6.35423,5.30238,1862
,,,,,,,,,,,,,,,,1,7.85376,1.43841,938,2,7.27992,10.9785,3115
,,,,,,,,,,,,,,,,1,9.56238,0.387807,970,2,3.38442,8.03113,2914
,,,,,,,,,,,,,,,,1,18.6994,0.0634593,672,2,4.95038,4.20947,1928
,,,,,,,,,,,,,,,,1,10.7609,0.00705104,588,2,8.79632,17.9237,2224
,,,,,,,,,,,,,,,,1,10.5325,0.119868,739,3,4.40835,0.0282041,533
,,,,,,,,,,,,,,,,1,8.70598,0.00705104,455,3,8.28832,1.75571,1680
,,,,,,,,,,,,,,,,1,10.2952,0.472419,1268,3,2.6055,4.36459,2044
,,,,,,,,,,,,,,,,1,10.5677,0.00705104,451,3,1.04362,20.0884,2921
,,,,,,,,,,,,,,,,1,8.13787,0.0282041,715,3,0.338964,23.6351,2403
,,,,,,,,,,,,,,,,1,8.39567,0.197429,714,3,2.10496,19.4609,2432
,,,,,,,,,,,,,,,,1,16.7187,0.507675,811,3,4.18242,1.6711,2045
,,,,,,,,,,,,,,,,1,11.9603,0.119868,625,3,4.09157,0.923686,1190
,,,,,,,,,,,,,,,,1,15.2869,1.09291,1131,3,5.68934,0.0141021,588
,,,,,,,,,,,,,,,,1,12.6891,0.282041,1409,3,4.74686,1.17047,1775
,,,,,,,,,,,,,,,,1,7.35982,0.0846124,621,3,4.93883,2.48196,1801
,,,,,,,,,,,,,,,,1,11.2651,0.437164,1092,3,6.43759,3.19412,2094
,,,,,,,,,,,,,,,,1,8.06727,0.620491,1035,3,1.72145,4.69599,1335
,,,,,,,,,,,,,,,,1,10.232,0.183327,722,3,3.22248,3.69474,1991
,,,,,,,,,,,,,,,,1,10.851,2.94028,1124,3,6.62409,2.36915,1426
,,,,,,,,,,,,,,,,1,12.115,0.394858,1039,3,3.84074,2.90503,1384
,,,,,,,,,,,,,,,,1,8.64251,1.32559,1287,4,2.27001,2.97554,1437
,,,,,,,,,,,,,,,,1,5.80022,0.0141021,567,4,0.563565,22.3729,2209
,,,,,,,,,,,,,,,,1,12.4358,0.0564083,651,4,3.53334,1.96724,1672
,,,,,,,,,,,,,,,,1,5.84747,0.0775614,668,4,4.04935,8.58816,2478
,,,,,,,,,,,,,,,,1,14.6173,0.698052,1145,4,2.69159,2.80631,2597
,,,,,,,,,,,,,,,,1,11.601,0.0493572,542,4,2.68814,2.35505,1674
,,,,,,,,,,,,,,,,1,14.8662,0.218582,730,4,3.71649,13.4322,2309
,,,,,,,,,,,,,,,,1,9.74438,0.0705104,801,4,2.85912,0.0846124,649
,,,,,,,,,,,,,,,,1,6.23428,0.0634593,689,4,7.06343,0.691001,990
,,,,,,,,,,,,,,,,1,8.48552,0.0282041,571,4,2.12762,9.61761,2449
,,,,,,,,,,,,,,,,1,7.46849,0.162174,760,4,2.59378,7.24141,1826
,,,,,,,,,,,,,,,,1,9.23158,0.0141021,521,4,3.22791,0.387807,863
,,,,,,,,,,,,,,,,1,4.04551,0.352552,873,4,0.646844,3.82871,1888
