Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg_11Feb22_4022_000_A_NSW4022_TGN-488_ATG9A-647_B_60X_001.nd2,2,2,1,5.28485e+07,1.17925e+08,0.618389,0.644288,0.111552,3.7212,0.636391,0.896756,50.9559,45.4568,1,1.4227,1,21.4799,0.557032,1665,1,1.30718,4.90047,2672
,,,2,3.84252e+07,1.17639e+08,0.62703,0.655687,0.123148,3.49113,0.67959,0.870612,50.661,48.81,2,0.894235,1,28.7627,0.0775614,1191,1,3.64595,49.2092,3543
,,,,,,,,,,,,,,,,1,26.287,0.0211531,1070,1,1.60044,54.8923,3653
,,,,,,,,,,,,,,,,1,28.881,0.733308,1498,1,5.53833,3.97678,3182
,,,,,,,,,,,,,,,,1,29.1472,0.0282041,1095,1,6.09868,21.8935,3313
,,,,,,,,,,,,,,,,1,29.1465,0.669848,1346,2,5.04165,0.00705104,867
,,,,,,,,,,,,,,,,1,19.567,0.225633,2034,2,0.956045,8.80674,3398
,,,,,,,,,,,,,,,,1,21.7337,0.260888,1766,2,5.09195,23.4235,3398
,,,,,,,,,,,,,,,,1,18.5977,0.126919,1667,2,0.874278,10.8233,3648
,,,,,,,,,,,,,,,,1,16.9059,0.00705104,1154,2,1.01599,3.56782,3334
,,,,,,,,,,,,,,,,1,17.4701,0.105766,1230,2,2.81116,54.3212,3398
,,,,,,,,,,,,,,,,1,13.4334,0.13397,1418,,,,
,,,,,,,,,,,,,,,,1,13.0836,0.00705104,874,,,,
,,,,,,,,,,,,,,,,1,19.8588,0.0211531,1227,,,,
,,,,,,,,,,,,,,,,1,17.4047,0.155123,1550,,,,
,,,,,,,,,,,,,,,,1,18.875,0.444215,1746,,,,
,,,,,,,,,,,,,,,,1,16.1024,0.119868,1331,,,,
,,,,,,,,,,,,,,,,1,21.8729,0.641644,1620,,,,
,,,,,,,,,,,,,,,,1,14.7466,0.782665,2979,,,,
,,,,,,,,,,,,,,,,1,15.2109,0.0141021,1095,,,,
,,,,,,,,,,,,,,,,1,14.5224,0.0282041,1178,,,,
,,,,,,,,,,,,,,,,1,16.2596,0.0141021,1259,,,,
,,,,,,,,,,,,,,,,1,16.1178,0.0775614,1082,,,,
,,,,,,,,,,,,,,,,1,13.7004,0.112817,1314,,,,
,,,,,,,,,,,,,,,,1,15.9738,0.105766,1276,,,,
,,,,,,,,,,,,,,,,1,16.738,0.0423062,1094,,,,
,,,,,,,,,,,,,,,,1,13.8505,0.232684,1655,,,,
,,,,,,,,,,,,,,,,1,15.453,0.0423062,1265,,,,
,,,,,,,,,,,,,,,,1,17.9309,0.282041,1792,,,,
,,,,,,,,,,,,,,,,1,13.7713,0.253837,2072,,,,
,,,,,,,,,,,,,,,,1,10.946,0.0141021,1093,,,,
,,,,,,,,,,,,,,,,1,10.7692,0.0493572,1125,,,,
,,,,,,,,,,,,,,,,1,13.5343,0.0211531,1182,,,,
,,,,,,,,,,,,,,,,1,19.6904,0.211531,1865,,,,
,,,,,,,,,,,,,,,,1,13.9051,0.0141021,1057,,,,
,,,,,,,,,,,,,,,,1,15.3468,0.00705104,1084,,,,
,,,,,,,,,,,,,,,,1,16.2826,0.437164,3653,,,,
,,,,,,,,,,,,,,,,1,8.87655,3.10951,3293,,,,
,,,,,,,,,,,,,,,,1,15.0617,2.0166,3341,,,,
,,,,,,,,,,,,,,,,1,11.3623,0.148072,1229,,,,
,,,,,,,,,,,,,,,,1,13.0563,0.239735,1845,,,,
,,,,,,,,,,,,,,,,1,14.7216,0.648695,2439,,,,
,,,,,,,,,,,,,,,,1,20.1423,0.401909,1741,,,,
,,,,,,,,,,,,,,,,1,18.2251,1.48072,3313,,,,
,,,,,,,,,,,,,,,,1,16.3671,1.17752,2805,,,,
,,,,,,,,,,,,,,,,1,9.92171,0.345501,1764,,,,
,,,,,,,,,,,,,,,,1,13.6455,0.169225,1437,,,,
,,,,,,,,,,,,,,,,1,17.9743,0.0282041,1105,,,,
,,,,,,,,,,,,,,,,1,16.2086,0.0141021,1188,,,,
,,,,,,,,,,,,,,,,1,14.8348,0.00705104,1074,,,,
,,,,,,,,,,,,,,,,1,16.8163,0.190378,1301,,,,
,,,,,,,,,,,,,,,,1,10.4865,0.0211531,1339,,,,
,,,,,,,,,,,,,,,,1,15.5917,0.260888,1371,,,,
,,,,,,,,,,,,,,,,1,19.1857,0.112817,1565,,,,
,,,,,,,,,,,,,,,,1,7.64927,0.0634593,1241,,,,
,,,,,,,,,,,,,,,,1,7.7098,0.810869,2342,,,,
,,,,,,,,,,,,,,,,1,14.2164,0.0352552,1170,,,,
,,,,,,,,,,,,,,,,1,12.1221,1.27624,2763,,,,
,,,,,,,,,,,,,,,,1,16.1542,0.416011,1817,,,,
,,,,,,,,,,,,,,,,1,15.7502,0.0352552,1286,,,,
,,,,,,,,,,,,,,,,1,15.8972,0.0423062,1217,,,,
,,,,,,,,,,,,,,,,1,15.2304,2.98964,3293,,,,
,,,,,,,,,,,,,,,,1,16.833,0.366654,1833,,,,
,,,,,,,,,,,,,,,,1,12.2408,0.0493572,1182,,,,
,,,,,,,,,,,,,,,,1,17.5008,0.00705104,856,,,,
,,,,,,,,,,,,,,,,1,16.1853,0.0352552,1223,,,,
,,,,,,,,,,,,,,,,1,13.8996,0.0423062,1313,,,,
,,,,,,,,,,,,,,,,1,14.4714,0.0211531,908,,,,
,,,,,,,,,,,,,,,,1,11.9444,0.0141021,1232,,,,
,,,,,,,,,,,,,,,,1,15.7673,0.0211531,1008,,,,
,,,,,,,,,,,,,,,,1,12.57,0.0141021,1333,,,,
,,,,,,,,,,,,,,,,1,12.9895,0.267939,2064,,,,
,,,,,,,,,,,,,,,,1,12.0798,0.112817,1253,,,,
,,,,,,,,,,,,,,,,1,9.51077,0.0493572,1136,,,,
,,,,,,,,,,,,,,,,1,13.6463,0.0423062,1219,,,,
,,,,,,,,,,,,,,,,1,12.6681,0.0141021,1157,,,,
,,,,,,,,,,,,,,,,1,13.2428,0.0634593,1241,,,,
,,,,,,,,,,,,,,,,1,10.0052,0.211531,1830,,,,
,,,,,,,,,,,,,,,,1,12.7267,0.232684,1905,,,,
,,,,,,,,,,,,,,,,1,10.505,0.0705104,1230,,,,
,,,,,,,,,,,,,,,,1,9.06416,0.155123,1682,,,,
,,,,,,,,,,,,,,,,1,10.4475,0.296143,2101,,,,
,,,,,,,,,,,,,,,,1,9.37655,0.00705104,994,,,,
,,,,,,,,,,,,,,,,1,8.19049,0.126919,1302,,,,
,,,,,,,,,,,,,,,,1,10.9882,0.0141021,1362,,,,
,,,,,,,,,,,,,,,,1,10.3819,0.00705104,1057,,,,
,,,,,,,,,,,,,,,,1,9.52869,0.246786,2059,,,,
,,,,,,,,,,,,,,,,1,8.48858,0.267939,1720,,,,
,,,,,,,,,,,,,,,,1,5.74215,0.13397,1316,,,,
,,,,,,,,,,,,,,,,1,9.07405,0.0634593,1813,,,,
,,,,,,,,,,,,,,,,1,9.28711,0.0634593,1128,,,,
,,,,,,,,,,,,,,,,1,9.0793,0.0352552,1303,,,,
,,,,,,,,,,,,,,,,1,8.31923,0.190378,1487,,,,
,,,,,,,,,,,,,,,,1,19.5601,0.00705104,1050,,,,
,,,,,,,,,,,,,,,,1,6.01942,1.88968,2256,,,,
,,,,,,,,,,,,,,,,1,14.8294,0.0141021,1309,,,,
,,,,,,,,,,,,,,,,1,10.3773,0.0141021,1184,,,,
,,,,,,,,,,,,,,,,1,11.2912,0.246786,1871,,,,
,,,,,,,,,,,,,,,,1,16.7605,0.0564083,935,,,,
,,,,,,,,,,,,,,,,1,13.7848,0.641644,1820,,,,
,,,,,,,,,,,,,,,,1,14.2941,0.0493572,1191,,,,
,,,,,,,,,,,,,,,,1,21.5055,0.324348,1728,,,,
,,,,,,,,,,,,,,,,1,9.16595,0.0211531,1112,,,,
,,,,,,,,,,,,,,,,1,19.8582,0.246786,1528,,,,
,,,,,,,,,,,,,,,,1,12.1849,0.162174,1372,,,,
,,,,,,,,,,,,,,,,1,23.9005,0.126919,1600,,,,
,,,,,,,,,,,,,,,,1,16.3251,0.0282041,1137,,,,
,,,,,,,,,,,,,,,,1,16.2779,0.00705104,890,,,,
,,,,,,,,,,,,,,,,1,18.7092,1.00125,1974,,,,
,,,,,,,,,,,,,,,,1,13.0072,0.00705104,1057,,,,
,,,,,,,,,,,,,,,,1,18.1662,0.712155,1986,,,,
,,,,,,,,,,,,,,,,1,13.1967,0.00705104,1122,,,,
,,,,,,,,,,,,,,,,1,8.31439,0.0705104,1444,,,,
,,,,,,,,,,,,,,,,1,11.7774,0.119868,1492,,,,
,,,,,,,,,,,,,,,,1,10.4321,0.0282041,1148,,,,
,,,,,,,,,,,,,,,,1,14.4971,0.317297,1964,,,,
,,,,,,,,,,,,,,,,1,13.1886,0.0141021,1163,,,,
,,,,,,,,,,,,,,,,1,13.5496,0.0634593,1039,,,,
,,,,,,,,,,,,,,,,1,6.92882,0.155123,1477,,,,
,,,,,,,,,,,,,,,,1,10.3133,0.13397,1899,,,,
,,,,,,,,,,,,,,,,1,13.6526,2.15762,3305,,,,
,,,,,,,,,,,,,,,,1,3.57708,0.40896,1911,,,,
,,,,,,,,,,,,,,,,1,10.9051,0.324348,2059,,,,
,,,,,,,,,,,,,,,,1,5.62972,0.267939,2293,,,,
,,,,,,,,,,,,,,,,1,7.99367,0.0564083,1493,,,,
,,,,,,,,,,,,,,,,1,4.82846,0.0352552,1267,,,,
,,,,,,,,,,,,,,,,1,3.81835,0.00705104,1125,,,,
,,,,,,,,,,,,,,,,1,5.07399,0.00705104,916,,,,
,,,,,,,,,,,,,,,,1,11.189,0.0634593,1496,,,,
,,,,,,,,,,,,,,,,1,3.99894,0.0564083,1111,,,,
,,,,,,,,,,,,,,,,1,5.16039,0.40896,1547,,,,
,,,,,,,,,,,,,,,,1,4.45231,0.00705104,889,,,,
,,,,,,,,,,,,,,,,1,7.33115,0.0282041,1339,,,,
,,,,,,,,,,,,,,,,1,8.08479,0.310246,2444,,,,
,,,,,,,,,,,,,,,,1,3.45467,0.155123,1609,,,,
,,,,,,,,,,,,,,,,1,6.35186,0.0564083,1218,,,,
,,,,,,,,,,,,,,,,1,5.84649,0.148072,1997,,,,
,,,,,,,,,,,,,,,,1,5.19842,0.13397,1666,,,,
,,,,,,,,,,,,,,,,1,5.54288,0.458317,1967,,,,
,,,,,,,,,,,,,,,,1,3.37126,0.190378,1797,,,,
,,,,,,,,,,,,,,,,1,20.1904,0.803818,2688,,,,
,,,,,,,,,,,,,,,,1,23.5556,0.155123,1412,,,,
,,,,,,,,,,,,,,,,1,17.2419,0.0634593,1282,,,,
,,,,,,,,,,,,,,,,1,12.5668,0.0493572,1365,,,,
,,,,,,,,,,,,,,,,1,16.9954,0.00705104,1082,,,,
,,,,,,,,,,,,,,,,1,7.79642,0.514726,2682,,,,
,,,,,,,,,,,,,,,,1,21.2099,0.874328,2296,,,,
,,,,,,,,,,,,,,,,1,15.4312,0.0705104,1190,,,,
,,,,,,,,,,,,,,,,1,16.7647,0.126919,1609,,,,
,,,,,,,,,,,,,,,,1,20.0824,0.366654,2253,,,,
,,,,,,,,,,,,,,,,1,16.6447,0.183327,1566,,,,
,,,,,,,,,,,,,,,,1,3.48653,0.0141021,1120,,,,
,,,,,,,,,,,,,,,,1,12.103,0.0775614,1098,,,,
,,,,,,,,,,,,,,,,1,12.8201,0.0705104,1408,,,,
,,,,,,,,,,,,,,,,1,12.6687,0.0775614,1248,,,,
,,,,,,,,,,,,,,,,1,10.6802,0.0141021,1167,,,,
,,,,,,,,,,,,,,,,1,1.4962,0.0141021,915,,,,
,,,,,,,,,,,,,,,,1,4.52864,0.0141021,893,,,,
,,,,,,,,,,,,,,,,1,3.42581,0.662797,2197,,,,
,,,,,,,,,,,,,,,,1,4.75962,0.00705104,1119,,,,
,,,,,,,,,,,,,,,,1,4.92859,0.239735,1709,,,,
,,,,,,,,,,,,,,,,1,5.56644,0.218582,1949,,,,
,,,,,,,,,,,,,,,,1,2.43123,0.0423062,1221,,,,
,,,,,,,,,,,,,,,,1,7.13926,0.740359,2694,,,,
,,,,,,,,,,,,,,,,1,4.71152,0.169225,1732,,,,
,,,,,,,,,,,,,,,,1,5.82687,1.24803,3101,,,,
,,,,,,,,,,,,,,,,1,7.66616,0.0211531,1126,,,,
,,,,,,,,,,,,,,,,1,5.61765,0.500623,2121,,,,
,,,,,,,,,,,,,,,,1,10.0355,0.0352552,1209,,,,
,,,,,,,,,,,,,,,,1,22.5728,0.0282041,1217,,,,
,,,,,,,,,,,,,,,,1,22.5029,0.0141021,1043,,,,
,,,,,,,,,,,,,,,,1,22.7941,0.155123,1411,,,,
,,,,,,,,,,,,,,,,1,24.0773,0.0141021,1341,,,,
,,,,,,,,,,,,,,,,1,12.3592,0.0141021,1045,,,,
,,,,,,,,,,,,,,,,1,9.96507,3.22232,3543,,,,
,,,,,,,,,,,,,,,,1,12.6286,0.394858,2010,,,,
,,,,,,,,,,,,,,,,1,19.259,0.0564083,1216,,,,
,,,,,,,,,,,,,,,,1,17.0927,0.148072,1174,,,,
,,,,,,,,,,,,,,,,1,8.72331,0.119868,1517,,,,
,,,,,,,,,,,,,,,,1,12.2445,0.0775614,1461,,,,
,,,,,,,,,,,,,,,,1,9.39567,1.92493,3313,,,,
,,,,,,,,,,,,,,,,1,6.56743,0.141021,1750,,,,
,,,,,,,,,,,,,,,,1,12.8473,1.08586,3313,,,,
,,,,,,,,,,,,,,,,1,11.9827,0.232684,1634,,,,
,,,,,,,,,,,,,,,,1,9.69138,0.0141021,1170,,,,
,,,,,,,,,,,,,,,,1,16.8358,0.994196,2348,,,,
,,,,,,,,,,,,,,,,1,11.811,0.169225,1300,,,,
,,,,,,,,,,,,,,,,1,16.4697,0.00705104,875,,,,
,,,,,,,,,,,,,,,,1,5.79744,0.00705104,1023,,,,
,,,,,,,,,,,,,,,,1,13.497,0.0211531,1074,,,,
,,,,,,,,,,,,,,,,1,9.60451,0.119868,1279,,,,
,,,,,,,,,,,,,,,,1,10.6669,5.16841,3127,,,,
,,,,,,,,,,,,,,,,1,6.57442,0.0846124,1264,,,,
,,,,,,,,,,,,,,,,1,7.41324,0.190378,1847,,,,
,,,,,,,,,,,,,,,,1,9.8193,0.00705104,956,,,,
,,,,,,,,,,,,,,,,1,10.2024,0.0423062,1014,,,,
,,,,,,,,,,,,,,,,1,5.26395,0.00705104,1180,,,,
,,,,,,,,,,,,,,,,1,10.0316,0.0705104,1217,,,,
,,,,,,,,,,,,,,,,1,5.47976,0.162174,1409,,,,
,,,,,,,,,,,,,,,,1,7.03585,0.0634593,1357,,,,
,,,,,,,,,,,,,,,,1,8.33692,0.00705104,934,,,,
,,,,,,,,,,,,,,,,1,7.59087,0.105766,1660,,,,
,,,,,,,,,,,,,,,,1,14.8331,0.183327,1688,,,,
,,,,,,,,,,,,,,,,1,10.6429,0.232684,1545,,,,
,,,,,,,,,,,,,,,,1,13.3023,0.00705104,928,,,,
,,,,,,,,,,,,,,,,1,16.9238,0.0564083,1205,,,,
,,,,,,,,,,,,,,,,1,15.2134,0.0564083,1247,,,,
,,,,,,,,,,,,,,,,1,13.2416,0.105766,1611,,,,
,,,,,,,,,,,,,,,,1,15.4441,0.00705104,940,,,,
,,,,,,,,,,,,,,,,1,14.5383,0.296143,1923,,,,
,,,,,,,,,,,,,,,,1,18.5571,2.22813,2974,,,,
,,,,,,,,,,,,,,,,1,13.9649,0.401909,1464,,,,
,,,,,,,,,,,,,,,,1,12.3154,1.25508,1944,,,,
,,,,,,,,,,,,,,,,1,15.8238,0.458317,1970,,,,
,,,,,,,,,,,,,,,,1,14.6531,0.40896,1803,,,,
,,,,,,,,,,,,,,,,1,17.3902,0.47947,2164,,,,
,,,,,,,,,,,,,,,,1,15.421,0.0423062,1255,,,,
,,,,,,,,,,,,,,,,1,10.348,0.0141021,1212,,,,
,,,,,,,,,,,,,,,,1,10.9471,0.0211531,1148,,,,
,,,,,,,,,,,,,,,,1,16.4416,0.0141021,1142,,,,
,,,,,,,,,,,,,,,,1,17.1142,0.0493572,1190,,,,
,,,,,,,,,,,,,,,,1,16.781,1.14227,1986,,,,
,,,,,,,,,,,,,,,,1,18.8071,0.211531,1899,,,,
,,,,,,,,,,,,,,,,1,19.8031,0.00705104,1083,,,,
,,,,,,,,,,,,,,,,1,15.6767,0.289092,2146,,,,
,,,,,,,,,,,,,,,,1,19.0159,0.00705104,1023,,,,
,,,,,,,,,,,,,,,,1,21.6665,0.155123,1705,,,,
,,,,,,,,,,,,,,,,1,30.3673,0.0634593,1320,,,,
,,,,,,,,,,,,,,,,1,31.3563,0.0141021,1247,,,,
,,,,,,,,,,,,,,,,1,30.3336,0.00705104,943,,,,
,,,,,,,,,,,,,,,,1,30.3124,0.00705104,987,,,,
,,,,,,,,,,,,,,,,1,32.0204,0.126919,1449,,,,
,,,,,,,,,,,,,,,,1,31.362,0.0141021,1104,,,,
,,,,,,,,,,,,,,,,2,27.8866,0.00705104,878,,,,
,,,,,,,,,,,,,,,,2,24.7249,0.126919,1743,,,,
,,,,,,,,,,,,,,,,2,21.7507,0.169225,1683,,,,
,,,,,,,,,,,,,,,,2,21.8428,0.937788,1887,,,,
,,,,,,,,,,,,,,,,2,21.0342,0.359603,1508,,,,
,,,,,,,,,,,,,,,,2,25.6867,0.0634593,1310,,,,
,,,,,,,,,,,,,,,,2,22.7358,0.155123,1477,,,,
,,,,,,,,,,,,,,,,2,22.9699,1.04355,1941,,,,
,,,,,,,,,,,,,,,,2,19.4141,0.803818,1732,,,,
,,,,,,,,,,,,,,,,2,18.4544,0.00705104,880,,,,
,,,,,,,,,,,,,,,,2,18.5503,0.126919,1213,,,,
,,,,,,,,,,,,,,,,2,18.7883,1.24803,2200,,,,
,,,,,,,,,,,,,,,,2,18.0938,0.13397,1403,,,,
,,,,,,,,,,,,,,,,2,16.4923,0.0282041,1176,,,,
,,,,,,,,,,,,,,,,2,17.6832,0.0141021,1281,,,,
,,,,,,,,,,,,,,,,2,21.6934,0.0493572,1492,,,,
,,,,,,,,,,,,,,,,2,20.5527,0.232684,1559,,,,
,,,,,,,,,,,,,,,,2,19.3199,0.126919,1297,,,,
,,,,,,,,,,,,,,,,2,18.2017,0.0423062,1137,,,,
,,,,,,,,,,,,,,,,2,19.4656,0.119868,1301,,,,
,,,,,,,,,,,,,,,,2,19.7278,0.112817,1393,,,,
,,,,,,,,,,,,,,,,2,20.2444,0.507675,2034,,,,
,,,,,,,,,,,,,,,,2,18.2442,0.148072,1494,,,,
,,,,,,,,,,,,,,,,2,16.7842,0.0141021,1071,,,,
,,,,,,,,,,,,,,,,2,19.516,0.0634593,1119,,,,
,,,,,,,,,,,,,,,,2,17.6919,0.0282041,1149,,,,
,,,,,,,,,,,,,,,,2,16.8511,0.225633,1572,,,,
,,,,,,,,,,,,,,,,2,16.9637,0.0282041,1191,,,,
,,,,,,,,,,,,,,,,2,21.2643,0.00705104,1166,,,,
,,,,,,,,,,,,,,,,2,17.3513,0.00705104,932,,,,
,,,,,,,,,,,,,,,,2,17.601,0.00705104,1119,,,,
,,,,,,,,,,,,,,,,2,17.1874,0.0352552,1173,,,,
,,,,,,,,,,,,,,,,2,20.706,0.00705104,855,,,,
,,,,,,,,,,,,,,,,2,19.2845,0.00705104,863,,,,
,,,,,,,,,,,,,,,,2,17.9673,0.0141021,1020,,,,
,,,,,,,,,,,,,,,,2,17.0266,0.0423062,1258,,,,
,,,,,,,,,,,,,,,,2,15.3683,0.176276,1713,,,,
,,,,,,,,,,,,,,,,2,17.6801,0.126919,1466,,,,
,,,,,,,,,,,,,,,,2,17.592,0.239735,1816,,,,
,,,,,,,,,,,,,,,,2,22.7779,0.698052,3543,,,,
,,,,,,,,,,,,,,,,2,23.3278,1.22688,2195,,,,
,,,,,,,,,,,,,,,,2,18.0851,3.47616,2720,,,,
,,,,,,,,,,,,,,,,2,17.266,0.27499,1534,,,,
,,,,,,,,,,,,,,,,2,14.4791,0.444215,2426,,,,
,,,,,,,,,,,,,,,,2,14.2149,0.176276,1941,,,,
,,,,,,,,,,,,,,,,2,12.8469,0.112817,1617,,,,
,,,,,,,,,,,,,,,,2,15.4074,0.169225,1452,,,,
,,,,,,,,,,,,,,,,2,15.8232,0.0987145,1108,,,,
,,,,,,,,,,,,,,,,2,19.941,0.0564083,1609,,,,
,,,,,,,,,,,,,,,,2,17.0313,0.0705104,1363,,,,
,,,,,,,,,,,,,,,,2,14.0321,0.0141021,1266,,,,
,,,,,,,,,,,,,,,,2,17.5507,0.00705104,1122,,,,
,,,,,,,,,,,,,,,,2,19.3687,0.0564083,1396,,,,
,,,,,,,,,,,,,,,,2,19.035,0.190378,1398,,,,
,,,,,,,,,,,,,,,,2,14.4518,0.169225,1306,,,,
,,,,,,,,,,,,,,,,2,15.6673,0.0211531,1072,,,,
,,,,,,,,,,,,,,,,2,17.3191,0.141021,1472,,,,
,,,,,,,,,,,,,,,,2,14.2659,0.655746,3519,,,,
,,,,,,,,,,,,,,,,2,16.4684,0.126919,1336,,,,
,,,,,,,,,,,,,,,,2,13.963,0.303195,1641,,,,
,,,,,,,,,,,,,,,,2,11.2155,0.0564083,1115,,,,
,,,,,,,,,,,,,,,,2,10.6103,0.00705104,1372,,,,
,,,,,,,,,,,,,,,,2,21.6526,0.105766,1416,,,,
,,,,,,,,,,,,,,,,2,7.78929,0.0352552,1301,,,,
,,,,,,,,,,,,,,,,2,12.547,0.141021,1620,,,,
,,,,,,,,,,,,,,,,2,21.3368,0.225633,1955,,,,
,,,,,,,,,,,,,,,,2,19.5959,0.0564083,2011,,,,
,,,,,,,,,,,,,,,,2,19.5693,0.352552,1909,,,,
,,,,,,,,,,,,,,,,2,20.5909,0.0916635,1311,,,,
,,,,,,,,,,,,,,,,2,10.0471,0.112817,1480,,,,
,,,,,,,,,,,,,,,,2,10.635,0.0916635,1308,,,,
,,,,,,,,,,,,,,,,2,7.79542,0.0141021,1030,,,,
,,,,,,,,,,,,,,,,2,22.8153,0.803818,2705,,,,
,,,,,,,,,,,,,,,,2,24.7115,0.0775614,1250,,,,
,,,,,,,,,,,,,,,,2,16.442,0.54293,1675,,,,
,,,,,,,,,,,,,,,,2,18.202,0.00705104,1147,,,,
,,,,,,,,,,,,,,,,2,20.5577,3.22232,3542,,,,
,,,,,,,,,,,,,,,,2,12.4883,0.00705104,1060,,,,
,,,,,,,,,,,,,,,,2,11.8122,0.0141021,941,,,,
,,,,,,,,,,,,,,,,2,11.7802,0.0634593,1311,,,,
,,,,,,,,,,,,,,,,2,12.5741,0.0211531,922,,,,
,,,,,,,,,,,,,,,,2,11.9374,0.105766,1259,,,,
,,,,,,,,,,,,,,,,2,20.404,0.112817,1366,,,,
,,,,,,,,,,,,,,,,2,12.6564,0.00705104,1012,,,,
,,,,,,,,,,,,,,,,2,22.3456,0.105766,1411,,,,
,,,,,,,,,,,,,,,,2,7.92815,0.0493572,1050,,,,
,,,,,,,,,,,,,,,,2,10.0123,0.0282041,1046,,,,
,,,,,,,,,,,,,,,,2,7.02884,0.0775614,1349,,,,
,,,,,,,,,,,,,,,,2,14.7,0.0916635,1376,,,,
,,,,,,,,,,,,,,,,2,7.68318,0.0141021,908,,,,
,,,,,,,,,,,,,,,,2,6.90938,0.0634593,1138,,,,
,,,,,,,,,,,,,,,,2,6.60927,0.00705104,981,,,,
,,,,,,,,,,,,,,,,2,10.6147,0.0282041,1193,,,,
,,,,,,,,,,,,,,,,2,10.8305,0.20448,1524,,,,
,,,,,,,,,,,,,,,,2,8.56739,0.00705104,1221,,,,
