Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg-Myc_21May22_4039_000_C_000_NSW4039A_Myc-555_TGN-488_ATG9-647_B_60X_001.nd2,2,2,1,2.33938e+08,164.342,7.34237e+06,1.19687e+08,0.440187,68.1708,33.9074,1,0.983963,1,34.0506,0.317297,2069,1,14.228,0.0705104,1280
,,,2,2.10929e+08,163.889,9.58123e+06,1.09289e+08,0.420908,57.943,32.9503,2,0.423588,1,30.6413,4.22357,2236,1,13.792,0.0141021,1099
,,,,,,,,,,,,,1,31.235,0.211531,1642,1,8.90682,0.832022,1979
,,,,,,,,,,,,,1,31.3873,0.169225,1647,1,10.436,1.11406,1773
,,,,,,,,,,,,,1,33.7975,0.225633,1567,1,10.1657,0.416011,1328
,,,,,,,,,,,,,1,33.3536,0.169225,1492,1,7.47608,0.253837,1722
,,,,,,,,,,,,,1,34.5362,0.0987145,1327,1,12.5378,0.33845,1630
,,,,,,,,,,,,,1,33.262,0.486521,2776,1,11.282,0.239735,1474
,,,,,,,,,,,,,1,31.749,0.0987145,1146,1,9.42809,0.0987145,1381
,,,,,,,,,,,,,1,26.4228,0.00705104,926,1,7.5272,0.126919,1202
,,,,,,,,,,,,,1,29.477,0.0705104,1165,1,7.77999,0.00705104,933
,,,,,,,,,,,,,1,26.3323,0.430113,1942,1,11.1679,0.0141021,1014
,,,,,,,,,,,,,1,25.4375,0.296143,1487,1,10.6672,0.105766,1291
,,,,,,,,,,,,,1,26.8438,0.119868,1553,1,7.86314,0.726257,1910
,,,,,,,,,,,,,1,27.1216,0.0564083,1244,1,6.50965,1.80506,2240
,,,,,,,,,,,,,1,24.3426,0.00705104,908,1,4.8526,0.267939,1413
,,,,,,,,,,,,,1,25.2665,0.0141021,929,1,5.59394,0.218582,1333
,,,,,,,,,,,,,1,30.551,0.0846124,1348,1,6.77179,5.16841,2074
,,,,,,,,,,,,,1,31.176,0.0423062,1081,1,5.27025,0.824971,1901
,,,,,,,,,,,,,1,29.8239,0.0705104,1200,1,1.97983,0.634593,1748
,,,,,,,,,,,,,1,27.6806,0.00705104,887,1,5.40645,0.0282041,979
,,,,,,,,,,,,,1,29.5889,0.0282041,1228,1,9.20645,0.0705104,1078
,,,,,,,,,,,,,1,26.3514,0.00705104,889,1,4.27762,0.267939,1522
,,,,,,,,,,,,,1,25.0548,0.0282041,1004,1,8.56871,0.0141021,1188
