Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
ATG9-GolSeg-Myc_21May22_4040_000_C_000_NSW4040_Myc-555_TGN-488_ATG9-647_B_60X_001.nd2,5,4,1,2.75934e+07,139.654,183910,1.42269e+07,0.511127,24.6339,18.6032,1,,1,4.02753,0.0141021,1155,1,4.48837,0.126919,1192
,,,2,8.439e+07,126.997,2.52707e+06,4.87188e+07,0.537231,43.6161,30.6798,2,0.418812,1,2.99429,0.00705104,902,1,3.87441,0.0493572,1104
,,,3,7.70324e+07,128.105,5.48916e+06,3.57441e+07,0.572026,38.0781,32.2358,3,0.490682,1,1.05928,0.0564083,1136,1,6.06705,0.119868,1238
,,,4,7.6401e+07,126.066,4.20459e+06,3.27705e+07,0.588453,39.0311,31.4741,4,0.130246,2,17.7673,0.0141021,1137,1,4.35792,0.211531,1220
,,,5,7.31022e+07,125.534,7.42833e+06,4.02193e+07,0.568853,44.6361,27.0312,5,0.237585,2,19.4801,0.0141021,903,1,4.53178,0.112817,1279
,,,,,,,,,,,,,2,17.2327,0.105766,1171,1,4.2351,0.176276,1142
,,,,,,,,,,,,,2,16.6567,0.0775614,1113,1,4.13931,0.0211531,927
,,,,,,,,,,,,,2,18.9998,0.141021,1522,1,3.5416,0.0282041,1066
,,,,,,,,,,,,,2,17.7742,0.0705104,1272,1,5.62442,0.0211531,1044
,,,,,,,,,,,,,2,16.1757,0.0141021,1120,1,2.73314,0.0564083,1096
,,,,,,,,,,,,,2,19.7549,0.0141021,1356,1,2.04229,0.00705104,906
,,,,,,,,,,,,,2,15.1364,0.0282041,1172,1,3.21265,0.0775614,1142
,,,,,,,,,,,,,2,12.5425,0.00705104,1024,2,3.52892,0.0846124,1321
,,,,,,,,,,,,,2,12.4716,0.0987145,1231,2,2.57134,0.648695,1593
,,,,,,,,,,,,,2,14.9878,0.239735,1246,2,1.59613,0.0493572,1091
,,,,,,,,,,,,,2,10.919,0.331399,1641,2,2.29905,1.0365,1537
,,,,,,,,,,,,,2,16.8064,0.00705104,947,2,2.60157,0.0705104,1190
,,,,,,,,,,,,,2,9.32004,0.00705104,1029,2,0.74753,0.190378,1350
,,,,,,,,,,,,,2,12.0214,2.24928,1795,2,1.35905,3.58898,2446
,,,,,,,,,,,,,2,14.4521,0.00705104,1150,2,4.43483,0.930737,2252
,,,,,,,,,,,,,2,8.80433,0.00705104,861,2,3.7359,1.43136,2031
,,,,,,,,,,,,,2,6.84639,0.00705104,923,2,4.96009,0.260888,1394
,,,,,,,,,,,,,2,7.64421,0.0634593,1277,2,3.84162,0.183327,1487
,,,,,,,,,,,,,2,8.30009,0.0211531,1049,2,4.24455,0.218582,1488
,,,,,,,,,,,,,2,12.2891,0.310246,1250,2,4.36308,0.387807,1282
,,,,,,,,,,,,,2,8.76707,0.0282041,1141,2,2.15508,0.585236,1852
,,,,,,,,,,,,,2,9.4179,0.00705104,945,2,5.94428,0.00705104,989
,,,,,,,,,,,,,2,8.9303,0.0352552,1079,2,4.74526,0.0916635,1205
,,,,,,,,,,,,,2,10.3677,0.0493572,1230,2,4.84552,0.0705104,1151
,,,,,,,,,,,,,2,10.9499,0.860226,1582,2,1.61098,0.0141021,1061
,,,,,,,,,,,,,2,7.25334,0.176276,1433,2,3.73702,0.00705104,867
,,,,,,,,,,,,,2,8.47641,0.0282041,977,2,1.76335,0.458317,1521
,,,,,,,,,,,,,2,9.15596,0.0493572,997,2,0.175223,0.366654,1714
,,,,,,,,,,,,,2,15.7283,0.119868,1307,2,2.79178,0.183327,1310
,,,,,,,,,,,,,2,10.9601,0.514726,1778,2,1.36627,0.00705104,918
,,,,,,,,,,,,,2,0.813113,0.105766,1119,2,3.01673,0.0141021,1213
,,,,,,,,,,,,,2,7.10471,0.0564083,1322,2,2.70209,0.0564083,1129
,,,,,,,,,,,,,2,8.79154,0.0564083,1175,2,0.314302,0.0423062,1156
,,,,,,,,,,,,,2,6.18766,0.0352552,1238,3,5.13546,0.0775614,1333
,,,,,,,,,,,,,2,9.29947,0.00705104,869,3,2.49697,4.27293,2225
,,,,,,,,,,,,,2,12.104,0.00705104,926,3,2.95342,6.00748,2188
,,,,,,,,,,,,,2,8.94085,0.0282041,1074,3,0.440682,12.1701,2317
,,,,,,,,,,,,,2,18.9421,0.0493572,1239,3,5.86524,0.246786,1498
,,,,,,,,,,,,,2,11.9186,0.0775614,1161,3,1.14256,0.00705104,970
,,,,,,,,,,,,,2,11.2249,0.0282041,1044,3,0.886728,0.00705104,1167
,,,,,,,,,,,,,2,14.7413,0.239735,1232,3,3.91574,0.112817,1180
,,,,,,,,,,,,,2,8.48381,0.253837,1335,3,4.54207,0.155123,1338
,,,,,,,,,,,,,2,12.9428,0.648695,1637,3,3.5474,0.0564083,1202
,,,,,,,,,,,,,2,10.7865,0.557032,1554,3,4.53683,0.141021,1208
,,,,,,,,,,,,,2,9.43717,0.0705104,1144,3,2.72954,0.0423062,1014
,,,,,,,,,,,,,2,13.3676,0.00705104,926,3,4.15738,0.119868,1342
,,,,,,,,,,,,,2,8.31993,0.126919,1234,3,2.47923,0.0282041,948
,,,,,,,,,,,,,2,9.50964,0.126919,1276,3,5.78544,0.105766,1316
,,,,,,,,,,,,,2,9.40191,0.0493572,1037,3,5.15556,0.00705104,964
,,,,,,,,,,,,,2,16.0648,0.190378,1530,4,3.01912,1.75571,2031
,,,,,,,,,,,,,2,9.00884,0.366654,1277,4,1.24708,7.65037,2111
,,,,,,,,,,,,,2,15.0919,0.0634593,1039,4,3.34518,2.95438,1910
,,,,,,,,,,,,,2,15.7579,0.796767,1566,4,4.15594,0.0564083,1153
,,,,,,,,,,,,,2,14.2678,0.451266,1417,4,3.85663,0.0493572,1044
,,,,,,,,,,,,,2,10.8686,0.0634593,1108,4,3.37772,0.620491,1666
,,,,,,,,,,,,,2,10.1573,0.387807,1744,4,4.8258,0.00705104,1061
,,,,,,,,,,,,,2,11.2415,0.0211531,956,4,4.96396,3.06015,1964
,,,,,,,,,,,,,2,8.07483,0.112817,1396,4,3.57355,0.0493572,1136
,,,,,,,,,,,,,3,14.8745,0.183327,1352,4,6.04512,1.19868,1970
,,,,,,,,,,,,,3,14.2516,0.00705104,934,5,1.32924,10.0477,3154
,,,,,,,,,,,,,3,12.7325,0.768563,2124,5,3.94389,4.71714,2784
,,,,,,,,,,,,,3,5.95525,0.00705104,1024,5,5.19755,0.282041,1359
,,,,,,,,,,,,,3,19.1309,0.0423062,973,5,2.3291,0.733308,1483
,,,,,,,,,,,,,3,5.11867,0.00705104,925,5,3.67994,14.3841,2871
,,,,,,,,,,,,,3,6.48568,0.00705104,1024,5,7.17362,0.585236,1520
,,,,,,,,,,,,,3,11.7707,0.00705104,1057,5,0.171606,0.126919,1138
,,,,,,,,,,,,,3,14.6682,0.00705104,1065,5,3.05812,0.0775614,1127
,,,,,,,,,,,,,3,12.2319,0.00705104,1054,5,1.29495,0.0564083,986
,,,,,,,,,,,,,3,10.1547,0.00705104,964,5,1.96122,0.0634593,1179
,,,,,,,,,,,,,3,4.50516,0.126919,1172,5,6.87237,0.00705104,908
,,,,,,,,,,,,,3,4.72661,0.0705104,1340,,,,
,,,,,,,,,,,,,3,15.2232,0.0141021,1175,,,,
,,,,,,,,,,,,,3,3.75049,0.0141021,993,,,,
,,,,,,,,,,,,,3,7.58663,0.0141021,1044,,,,
,,,,,,,,,,,,,3,4.98136,0.119868,1189,,,,
,,,,,,,,,,,,,3,4.64736,0.0705104,1151,,,,
,,,,,,,,,,,,,3,3.48405,0.00705104,1082,,,,
,,,,,,,,,,,,,3,5.62759,0.239735,1546,,,,
,,,,,,,,,,,,,3,3.45727,0.0564083,1095,,,,
,,,,,,,,,,,,,3,9.70343,0.0141021,900,,,,
,,,,,,,,,,,,,3,14.1931,0.00705104,1185,,,,
,,,,,,,,,,,,,4,15.8409,0.27499,1576,,,,
,,,,,,,,,,,,,4,9.94531,0.0211531,1146,,,,
,,,,,,,,,,,,,4,5.98527,0.00705104,1158,,,,
,,,,,,,,,,,,,4,2.87677,0.00705104,893,,,,
,,,,,,,,,,,,,4,11.1199,0.0705104,1279,,,,
,,,,,,,,,,,,,4,5.99574,0.0282041,1190,,,,
,,,,,,,,,,,,,4,3.7438,0.00705104,1117,,,,
,,,,,,,,,,,,,4,4.01676,0.0211531,1017,,,,
,,,,,,,,,,,,,4,3.55365,0.486521,1902,,,,
,,,,,,,,,,,,,4,3.67818,0.00705104,990,,,,
,,,,,,,,,,,,,4,1.86123,0.00705104,1085,,,,
,,,,,,,,,,,,,4,4.46078,0.0564083,1003,,,,
,,,,,,,,,,,,,4,12.9527,0.0282041,1029,,,,
,,,,,,,,,,,,,4,7.22557,0.0987145,1251,,,,
,,,,,,,,,,,,,4,11.4522,1.57238,2081,,,,
,,,,,,,,,,,,,4,9.34366,0.0916635,1119,,,,
,,,,,,,,,,,,,4,8.49085,0.0141021,1120,,,,
,,,,,,,,,,,,,4,12.4805,0.0282041,1233,,,,
,,,,,,,,,,,,,4,11.1041,0.0141021,986,,,,
,,,,,,,,,,,,,4,5.1839,0.0282041,1145,,,,
,,,,,,,,,,,,,4,12.138,0.00705104,919,,,,
,,,,,,,,,,,,,4,10.1755,0.0141021,1172,,,,
,,,,,,,,,,,,,4,8.50155,0.0141021,977,,,,
,,,,,,,,,,,,,4,5.74639,0.0987145,1217,,,,
,,,,,,,,,,,,,4,10.0174,0.0282041,1106,,,,
,,,,,,,,,,,,,4,5.41104,0.246786,1234,,,,
,,,,,,,,,,,,,4,6.29938,0.00705104,989,,,,
,,,,,,,,,,,,,4,13.755,0.00705104,951,,,,
,,,,,,,,,,,,,4,13.6998,0.218582,1527,,,,
,,,,,,,,,,,,,4,12.069,0.218582,1341,,,,
,,,,,,,,,,,,,4,12.9935,0.197429,1511,,,,
