"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","MandersM1","WT","Control",215,188,-1.21306975663059,0.225103151713639,1,"ns"
"2","MandersM1","WT","tepsin",215,175,-3.6338566081121,0.000279216078231035,0.00167529646938621,"**"
"3","MandersM1","WT","AP4E1",215,227,7.52391039838941,5.31617839967668e-14,3.18970703980601e-13,"****"
"4","MandersM1","Control","tepsin",188,175,-2.36899155810356,0.0178366605747626,0.107019963448576,"ns"
"5","MandersM1","Control","AP4E1",188,227,8.489208893688,2.08048464606628e-17,1.24829078763977e-16,"****"
"6","MandersM1","tepsin","AP4E1",175,227,10.7954679116905,3.61615809984175e-27,2.16969485990505e-26,"****"
"7","MandersM2","WT","Control",215,188,-0.484169607943799,0.628265504077312,1,"ns"
"8","MandersM2","WT","tepsin",215,175,-0.603309486054392,0.546302823544201,1,"ns"
"9","MandersM2","WT","AP4E1",215,227,2.49069573799021,0.0127493247799403,0.0764959486796417,"ns"
"10","MandersM2","Control","tepsin",188,175,-0.124508696046052,0.900912515509197,1,"ns"
"11","MandersM2","Control","AP4E1",188,227,2.89388149529773,0.00380511740943902,0.0228307044566341,"*"
"12","MandersM2","tepsin","AP4E1",175,227,2.96682971652355,0.00300887551717404,0.0180532531030442,"*"
"13","MandersMOC","WT","Control",215,188,1.83964077671642,0.0658209936229674,0.394925961737804,"ns"
"14","MandersMOC","WT","tepsin",215,175,-1.27016807276866,0.204024767728352,1,"ns"
"15","MandersMOC","WT","AP4E1",215,227,13.7647498678801,4.15319195025191e-43,2.49191517015114e-42,"****"
"16","MandersMOC","Control","tepsin",188,175,-2.97988589137685,0.00288355776971051,0.0173013466182631,"*"
"17","MandersMOC","Control","AP4E1",188,227,11.420826361265,3.29089814677007e-30,1.97453888806204e-29,"****"
"18","MandersMOC","tepsin","AP4E1",175,227,14.3071624215108,1.97405010499842e-46,1.18443006299905e-45,"****"
"19","PearsonCoeff","WT","Control",215,188,2.15300459085107,0.0313183177388502,0.187909906433101,"ns"
"20","PearsonCoeff","WT","tepsin",215,175,-0.48886104167634,0.624940078688653,1,"ns"
"21","PearsonCoeff","WT","AP4E1",215,227,13.6918243847729,1.13620209024144e-42,6.81721254144864e-42,"****"
"22","PearsonCoeff","Control","tepsin",188,175,-2.52048349794998,0.0117193733285179,0.0703162399711075,"ns"
"23","PearsonCoeff","Control","AP4E1",188,227,11.0331494243889,2.64439204169561e-28,1.58663522501737e-27,"****"
"24","PearsonCoeff","tepsin","AP4E1",175,227,13.4474320192209,3.18750932894218e-41,1.91250559736531e-40,"****"
"25","nonGolATG9Vol","WT","Control",38937,40003,2.3776926448387,0.017421340243491,0.104528041460946,"ns"
"26","nonGolATG9Vol","WT","tepsin",38937,44594,17.5194612226104,1.01784733115795e-68,6.10708398694767e-68,"****"
"27","nonGolATG9Vol","WT","AP4E1",38937,46340,18.2256568285571,3.22974652220792e-74,1.93784791332475e-73,"****"
"28","nonGolATG9Vol","Control","tepsin",40003,44594,15.1874151255667,4.28485981480121e-52,2.57091588888072e-51,"****"
"29","nonGolATG9Vol","Control","AP4E1",40003,46340,15.878862954678,8.87730685525382e-57,5.32638411315229e-56,"****"
"30","nonGolATG9Vol","tepsin","AP4E1",44594,46340,0.570297673203497,0.568475818781532,1,"ns"
"31","nonGolATG9MaxInt","WT","Control",38937,40003,20.703768828946,3.20315221781353e-95,1.92189133068812e-94,"****"
"32","nonGolATG9MaxInt","WT","tepsin",38937,44594,57.8988451584638,0,0,"****"
"33","nonGolATG9MaxInt","WT","AP4E1",38937,46340,34.8544166952315,3.64975654250293e-266,2.18985392550176e-265,"****"
"34","nonGolATG9MaxInt","Control","tepsin",40003,44594,36.9119982627444,2.96681570759436e-298,1.78008942455662e-297,"****"
"35","nonGolATG9MaxInt","Control","AP4E1",40003,46340,13.5131579757447,1.30788467734451e-41,7.84730806406706e-41,"****"
"36","nonGolATG9MaxInt","tepsin","AP4E1",44594,46340,-24.4162503067752,1.1494653912378e-131,6.89679234742681e-131,"****"
"37","GolATG9MaxInt","WT","Control",6021,5504,11.6904388679358,1.42647578469222e-31,8.55885470815334e-31,"****"
"38","GolATG9MaxInt","WT","tepsin",6021,5223,19.1639287869004,7.40657849588432e-82,4.44394709753059e-81,"****"
"39","GolATG9MaxInt","WT","AP4E1",6021,4828,30.3554072817907,2.13179602410525e-202,1.27907761446315e-201,"****"
"40","GolATG9MaxInt","Control","tepsin",5504,5223,7.4731023065378,7.83259035719399e-14,4.69955421431639e-13,"****"
"41","GolATG9MaxInt","Control","AP4E1",5504,4828,18.6839177942106,6.69222441643019e-78,4.01533464985812e-77,"****"
"42","GolATG9MaxInt","tepsin","AP4E1",5223,4828,11.2227045891994,3.15472178704162e-29,1.89283307222497e-28,"****"
"43","AveATG9MaxIntPerCell","WT","Control",214,188,1.71170012143933,0.0869519462358273,0.521711677414964,"ns"
"44","AveATG9MaxIntPerCell","WT","tepsin",214,174,5.44230985480285,5.25940878239959e-08,3.15564526943976e-07,"****"
